Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/3/2015,AQS,060730001,1,14.9,ug/m3 LC,62,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
1/6/2015,AQS,060730001,1,3.7,ug/m3 LC,21,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
1/9/2015,AQS,060730001,1,11.6,ug/m3 LC,56,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
1/12/2015,AQS,060730001,1,10.1,ug/m3 LC,53,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
1/15/2015,AQS,060730001,1,4.7,ug/m3 LC,26,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
1/18/2015,AQS,060730001,1,9.6,ug/m3 LC,52,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
1/21/2015,AQS,060730001,1,28.6,ug/m3 LC,87,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
1/24/2015,AQS,060730001,1,5.2,ug/m3 LC,29,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
1/27/2015,AQS,060730001,1,5.5,ug/m3 LC,31,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
1/30/2015,AQS,060730001,1,8.7,ug/m3 LC,48,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
2/2/2015,AQS,060730001,1,7.9,ug/m3 LC,44,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
2/6/2015,AQS,060730001,1,33.5,ug/m3 LC,96,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
2/8/2015,AQS,060730001,1,9,ug/m3 LC,50,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
2/11/2015,AQS,060730001,1,5.2,ug/m3 LC,29,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
2/14/2015,AQS,060730001,1,6.9,ug/m3 LC,38,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
2/17/2015,AQS,060730001,1,12.7,ug/m3 LC,58,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
2/20/2015,AQS,060730001,1,13.1,ug/m3 LC,58,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
2/23/2015,AQS,060730001,1,6,ug/m3 LC,33,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
2/26/2015,AQS,060730001,1,9.5,ug/m3 LC,52,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
3/1/2015,AQS,060730001,1,3.4,ug/m3 LC,19,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
3/4/2015,AQS,060730001,1,5,ug/m3 LC,28,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
3/7/2015,AQS,060730001,1,6.9,ug/m3 LC,38,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
3/10/2015,AQS,060730001,1,18.9,ug/m3 LC,69,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
3/13/2015,AQS,060730001,1,4.5,ug/m3 LC,25,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
3/16/2015,AQS,060730001,1,6.8,ug/m3 LC,38,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
3/19/2015,AQS,060730001,1,9.9,ug/m3 LC,52,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
3/22/2015,AQS,060730001,1,6.6,ug/m3 LC,37,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
3/25/2015,AQS,060730001,1,11,ug/m3 LC,55,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
3/28/2015,AQS,060730001,1,8.8,ug/m3 LC,49,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
3/31/2015,AQS,060730001,1,10.3,ug/m3 LC,53,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
4/3/2015,AQS,060730001,1,10.9,ug/m3 LC,54,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
4/6/2015,AQS,060730001,1,4,ug/m3 LC,22,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
4/9/2015,AQS,060730001,1,5,ug/m3 LC,28,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
4/12/2015,AQS,060730001,1,8.5,ug/m3 LC,47,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
4/15/2015,AQS,060730001,1,12.7,ug/m3 LC,58,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
4/18/2015,AQS,060730001,1,9.7,ug/m3 LC,52,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
4/21/2015,AQS,060730001,1,6.9,ug/m3 LC,38,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
4/27/2015,AQS,060730001,1,8.7,ug/m3 LC,48,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
4/30/2015,AQS,060730001,1,15.3,ug/m3 LC,63,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
5/3/2015,AQS,060730001,1,10.8,ug/m3 LC,54,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
5/6/2015,AQS,060730001,1,5,ug/m3 LC,28,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
5/9/2015,AQS,060730001,1,8.1,ug/m3 LC,45,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
5/12/2015,AQS,060730001,1,10,ug/m3 LC,53,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
5/15/2015,AQS,060730001,1,3.9,ug/m3 LC,22,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
5/18/2015,AQS,060730001,1,5.4,ug/m3 LC,30,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
5/21/2015,AQS,060730001,1,4.4,ug/m3 LC,24,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
5/24/2015,AQS,060730001,1,6.7,ug/m3 LC,37,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
5/27/2015,AQS,060730001,1,4.2,ug/m3 LC,23,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
5/30/2015,AQS,060730001,1,10.4,ug/m3 LC,53,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
