"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2015","AQS","060710001","1","0.5","ppm","6","Barstow","19","79.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/02/2015","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/03/2015","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/04/2015","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/05/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/06/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/07/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/08/2015","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/09/2015","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/10/2015","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/11/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/12/2015","AQS","060710001","1","0.3","ppm","3","Barstow","17","71.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/13/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/14/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/15/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/16/2015","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/17/2015","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/18/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/19/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/20/2015","AQS","060710001","1","0.4","ppm","5","Barstow","18","75.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/21/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/22/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/23/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/24/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/25/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/26/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/27/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/28/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/29/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/30/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/31/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/01/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/02/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/03/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/04/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/05/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/06/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/07/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/08/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/09/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/10/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/11/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/12/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/13/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/14/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/15/2015","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/16/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/17/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
